iter	Passed	Remaining
0	157	156857
1	177	88348
2	184	61301
3	192	47979
4	199	39791
5	208	34502
6	216	30669
7	223	27748
8	233	25713
9	241	23909
10	250	22519
11	260	21473
12	268	20408
13	276	19499
14	284	18670
15	293	18034
16	300	17379
17	308	16823
18	315	16284
19	322	15791
20	328	15334
21	335	14906
22	341	14522
23	347	14145
24	353	13803
25	359	13463
26	365	13163
27	409	14201
28	436	14606
29	459	14858
30	472	14755
31	480	14523
32	487	14279
33	494	14057
34	501	13823
35	511	13706
36	529	13771
37	539	13670
38	573	14134
39	591	14192
40	611	14297
41	623	14211
42	634	14130
43	647	14068
44	663	14081
45	677	14042
46	692	14038
47	712	14131
48	728	14140
49	740	14064
50	749	13948
51	760	13861
52	774	13846
53	784	13744
54	792	13615
55	800	13495
56	809	13393
57	817	13282
58	825	13165
59	834	13079
60	843	12990
61	853	12913
62	860	12799
63	869	12709
64	877	12619
65	887	12565
66	896	12480
67	903	12389
68	912	12307
69	920	12226
70	928	12149
71	935	12062
72	943	11978
73	950	11898
74	958	11822
75	966	11752
76	974	11685
77	982	11618
78	989	11530
79	994	11442
80	1003	11383
81	1009	11306
82	1015	11216
83	1023	11158
84	1030	11093
85	1036	11021
86	1042	10938
87	1048	10865
88	1055	10809
89	1062	10739
90	1068	10673
91	1076	10627
92	1084	10580
93	1095	10556
94	1109	10568
95	1122	10569
96	1137	10592
97	1147	10563
98	1158	10545
99	1171	10542
100	1183	10536
101	1194	10518
102	1205	10497
103	1214	10465
104	1225	10443
105	1234	10414
106	1247	10414
107	1258	10396
108	1267	10357
109	1276	10324
110	1284	10290
111	1293	10259
112	1306	10252
113	1316	10231
114	1327	10215
115	1336	10183
116	1345	10156
117	1355	10134
118	1366	10119
119	1376	10097
120	1386	10070
121	1396	10047
122	1404	10015
123	1417	10015
124	1441	10087
125	1456	10103
126	1470	10110
127	1483	10108
128	1501	10140
129	1520	10176
130	1531	10161
131	1543	10149
132	1557	10155
133	1567	10131
134	1577	10109
135	1587	10087
136	1596	10056
137	1603	10018
138	1611	9980
139	1619	9948
140	1630	9931
141	1639	9906
142	1649	9887
